Goods Name,Goods Code,출시일,리뉴얼,졸업일,제조국,Goods Category_1.goods,굿즈 Status_1.goods,itemdb (new),HS CODE 및 MBS 유의사항,"판매가(300개,표준인쇄포함)",제품유형_1차분류,제품유형_2차분류,제품유형_3차분류,제품군_일상/계절,제품유형_ESG,IP,출시일/졸업일 비고,PB/NB
리멤버 타투스티커,TTSK,2023-09-12,,,대한민국,Lifestyle,판매중,"TTSK_PT3291-리멤버타투스티커_화이트+디지털풀컬러,TTSK_PT3292-OPP,TTSK_PT3295-배경지,TTSK_PT3403-샘플(디지털풀컬러)_주식회사시티스푸너스[리멤버타투스티커],TTSK_PT3611-조립산출물_리멤버타투스티커,TTSK_PT3781-리멤버타투스티커와OPP와배경지",배경지에 필수정보 (KC인증번호) 등이 기입되어 있어서 MBS용으로 추가 스티커 제작 불필요,"5,000 미만",Lifestyle,타투스티커,커스텀 스티커,일상적제품,,,,PB
액티브 스포츠타월,SPTS,2023-10-26,,,대한민국,Fabric,판매중,"SPTS_PT3279-타월스트랩(커스텀인쇄),SPTS_PT3280-전사_4도_타월단면_(주)아이아트텍스,SPTS_PT3281-전사_4도_스트랩양면_(주)아이아트텍스,SPTS_PT3282-띠지(커스텀인쇄)_화이트+디지털풀컬러,SPTS_PT3283-이염방지페이퍼(스포츠타월)_화이트,SPTS_PT3284-샘플(전사)_4도_타월단면_(주)아이아트텍스,SPTS_PT3285-액티브스포츠타월_추상적산출물,SPTS_PT2843-액티브스포츠타월(원단)_스노우화이트,SPTS_PT3235-돌돌이_리필,SPTS_PT3236-돌돌이_본품,SPTS_PT3237-양면테이프_본품,SPTS_PT3238-양면테이프_리필,SPTS_PT2375-OPP(전용)_100-17,SPTS_PT3629-조립산출물_액티브스포츠타월,SPTS_PT3807-샘플(전사)_4도_타월스트랩_(주)아이아트텍스",특이사항 없습니다.,"10,000 미만",Sport,타올,스포츠타올,일상적제품,,,,PB
슬로건 맨투맨,SMTM,2024-01-25,,,베트남,Apparel,판매중,"SMTM_PT3778-슬로건맨투맨_블랙,SMTM_PT3235-돌돌이_리필,SMTM_PT3236-돌돌이_본품,SMTM_PT3193-투명손잡이지퍼백(M),SMTM_PT1073-펠트스트링파우치(커스텀인쇄)_그레이_300-1,SMTM_PT2534-펠트스트링파우치_추상적산출물,SMTM_PT2300-택스티커(전용)_화이트_000-1,SMTM_PT2214-실크_개미기획,SMTM_PT3473-리드타임조정(-8일),SMTM_PT3474-리드타임조정(-5일),SMTM_PT3795-슬로건맨투맨_네이비,SMTM_PT3796-슬로건맨투맨_멜란지그레이,SMTM_PT3797-슬로건맨투맨(2XL이상사이즈),SMTM_,SMTM_PT3799-나염_손목_톰스코리아주식회사,SMTM_PT3800-자수_전면_50x50_톰스코리아주식회사,SMTM_PT3801-자수_전면_100x100_톰스코리아주식회사,SMTM_PT3802-사각스티커(커스텀인쇄)(판매용)_화이트+디지털풀컬러,SMTM_PT3803-사각스티커(커스텀인쇄)_화이트+디지털풀컬러,SMTM_PT2215-샘플(실크)_개미기획[펠트스트링파우치],SMTM_PT3458-샘플(나염.자수)_1곳_톰스코리아주식회사,SMTM_PT3459-샘플(나염.자수)_2곳_톰스코리아주식회사,SMTM_PT3460-샘플(나염.자수)_3곳_톰스코리아주식회사,SMTM_PT3804-슬로건맨투맨_추상적산출물,SMTM_,SMTM_PT3798-나염_전면.후면_톰스코리아주식회사,SMTM_PT3806-펠트스트링파우치.인쇄,SMTM_PT4390-조립산출물_슬로건맨투맨,SMTM_PT5059-나염_전면_톰스코리아주식회사,SMTM_PT5060-나염_후면_톰스코리아주식회사",,"25,000 미만",Apparel,맨투맨,맨투맨,일상적제품,,,,PB
웜업 스트링 후드집업,WZIP,2023-10-11,,,중국,Apparel,판매중,"WZIP_PT3404-웜업스트링후드집업_추상적산출물,WZIP_PT3405-웜업스트링후드집업_네이비,WZIP_PT3406-웜업스트링후드집업_블랙,WZIP_PT3407-웜업스트링후드집업_멜란지그레이,WZIP_PT3408-웜업스트링후드집업(3L초과사이즈),WZIP_PT3410-나염_가슴_톰스코리아주식회사,WZIP_PT3411-나염_손목_톰스코리아주식회사,WZIP_PT3412-나염_등_톰스코리아주식회사,WZIP_PT3413-자수_가슴_50x50_톰스코리아주식회사,WZIP_PT3414-자수_가슴_100x100_톰스코리아주식회사,WZIP_PT3235-돌돌이_리필,WZIP_PT3236-돌돌이_본품,WZIP_PT1421-후드스트링_컬러,WZIP_PT2562-후드스트링_추상적산출물,WZIP_PT1419-실리콘_오디너리후드집업_승화파트너스,WZIP_PT1073-펠트스트링파우치(커스텀인쇄)_그레이_300-1,WZIP_PT2534-펠트스트링파우치_추상적산출물,WZIP_PT2300-택스티커(전용)_화이트_000-1,WZIP_PT2215-샘플(실크)_개미기획[펠트스트링파우치],WZIP_PT3193-투명손잡이지퍼백(M),WZIP_PT2214-실크_개미기획,WZIP_PT3415-사각스티커(커스텀인쇄)_화이트+디지털풀컬러,WZIP_PT3416-샘플(본제작과동일옵션)_톰스코리아주식회사,WZIP_PT3458-샘플(나염.자수)_1곳_톰스코리아주식회사,WZIP_PT3459-샘플(나염.자수)_2곳_톰스코리아주식회사,WZIP_PT3460-샘플(나염.자수)_3곳_톰스코리아주식회사,WZIP_PT3473-리드타임조정(-8일),WZIP_PT3474-리드타임조정(-5일),WZIP_PT3639-조립산출물_웜업스트링후드집업,WZIP_PT5190-웜업스트링후드집업(v2)_네이비,WZIP_PT5191-웜업스트링후드집업(v2)_블랙,WZIP_PT5192-웜업스트링후드집업(v2)_멜란지그레이",HS CODE: HS6110.30-1000,"30,000미만",Apparel,후드집업,후드집업,계절적제품: 겨울,,,,NB
위시 오브제 캔들,OJCD,2023-10-17,2025-06-20,,대한민국,Lifestyle,판매중,"OJCD_PT3446-위시오브제캔들_컬러,OJCD_PT3447-아크릴트레이[위시오브제캔들],OJCD_PT3448-아크릴트레이.배너[위시오브제캔들],OJCD_PT3449-UV_아크릴트레이_와이이케이글래스주식회사,OJCD_PT3323-페이퍼G형박스(전용)_웜그레이+블랙인쇄,OJCD_PT3450-띠지(커스텀인쇄)_화이트+디지털풀컬러,OJCD_PT3324-주의사항표기서(전용)_화이트+디지털풀컬러,OJCD_PT3451-웰컴페이퍼(커스텀인쇄)_반투명+블랙인쇄,OJCD_PT3453-UV_아크릴트레이.배너_와이이케이글래스주식회사,OJCD_PT3455-샘플(위시오브제캔들)_인더보썸[위시오브제캔들],OJCD_PT3456-샘플(UV인쇄)_아크릴트레이_와이이케이글래스주식회사,OJCD_PT3457-샘플(UV인쇄)_아크릴트레이.배너_와이이케이글래스주식회사,OJCD_PT3467-OPP(기성),OJCD_PT3753-조립산출물_위시오브제캔들,OJCD_PT3793-인쇄된아크릴트레이,OJCD_PT3794-인쇄된아크릴트레이.배너","**추가신고관련**
소요기간 : 영업일기준 약 10~15일 
필요서류 : 직매입계약서 
발생비용 : 없음 

1) 판매원 : 신시어리 유지 / 제품명 : 변경하는 경우
=> 추가 신고 진행 필요
2) 판매원 / 제품명 : 변경하는 경우
=> 추가 신고 진행 필요 
3) 판매원 / 제품명 : 유지, ""복""이외에 다른 형태로 진행하는 경우 
=> 신고 필요 없음 

크레비스 파생신고 등록 관련 (협력사에서 만기일 도래 시 자동으로 연장해주시기로함)
https://ecolife.me.go.kr/ecolife/slfsfcfst/qrcdLinkShow/1477356/?menuCmmnDtlCd=55&subMenuCategory=slfsfcfst","20,000 미만",Fragrance,향초,비즈왁스,일상적제품,,,,PB
Stationery 페이퍼박스,STBX,2023-09-20,,,대한민국,Kit Package,판매중,"STBX_PT2853-페이퍼G형박스(스탠다드)_블랙,STBX_PT3316-띠지(커스텀인쇄)_화이트+디지털풀컬러,STBX_PT3317-페이퍼G형박스(커스텀인쇄)_화이트+옵셋풀컬러,STBX_PT0546-웰컴페이퍼(커스텀인쇄)_화이트+디지털풀컬러_200-2,STBX_PT0547-웰컴페이퍼(커스텀인쇄)_반투명+블랙인쇄_200-2,STBX_PT3073-에어캡봉투(중),STBX_PT3072-에어캡봉투(소),STBX_PT3645-조립산출물_Stationery페이퍼박스",,"5,000 미만",Kit ,G형박스,페이퍼형,일상적제품,,,,PB
테크 미니 파우치,TCMP,2024-02-23,,,중국,Bag&pouch,판매중,"TCMP_PT3331-테크미니파우치,TCMP_PT3838-샘플(UV인쇄)_전면_와이이케이글래스주식회사[테크미니파우치],TCMP_PT3839-테크미니파우치_추상적산출물,TCMP_PT3840-UV_전면_와이이케이글래스주식회사[테크미니파우치],TCMP_PT3841-OPP(기성),TCMP_PT3842-사각스티커(커스텀인쇄)_화이트+디지털풀컬러,TCMP_PT3844-사각스티커(커스텀인쇄)(판매용)_화이트+디지털풀컬러,TCMP_PT3850-조립산출물_테크미니파우치,TCMP_PT4401-OPP",특이사항 없음 ,"10,000 미만",Bag&pouch,하드케이스 파우치,플라스틱 파우치,일상적제품,,,,PB
인마이백 피크닉매트,KRDJ,2024-01-30,,,대한민국,Fabric,판매중,"KRDJ_PT3809-인마이백피크닉매트(2인용),KRDJ_PT3810-인마이백피크닉매트(4인용),KRDJ_,KRDJ_PT3812-인마이백피크닉매트_추상적산출물,KRDJ_PT3813-샘플(전사)_(주)아이아트텍스,KRDJ_PT3814-사각스티커(커스텀인쇄)_화이트+디지털풀컬러,KRDJ_PT3334-주의사항표기서(전용),KRDJ_PT3335-케어라벨(전용)_나일론크로스+블랙인쇄,KRDJ_PT3815-주의사항표기서(커스텀인쇄)(판매용)_화이트+디지털풀컬러,KRDJ_PT3336-OPP(2인용)[인마이백피크닉매트],KRDJ_PT3337-OPP(4인용)[인마이백피크닉매트],KRDJ_PT3817-조립산출물_인마이백피크닉매트,KRDJ_PT3811-전사_4도_2인용_(주)아이아트텍스,KRDJ_PT3847-전사_4도_4인용_(주)아이아트텍스,KRDJ_PT3852-외주생산총공정산출물_인마이백피크닉매트,KRDJ_",1. 판매용 주의사항표기서 tmp을 생성해두었습니다. 기존 신시어리 재고가 아닌 판매용으로 제작해서 납품하시면 되어요 ,"20,000 미만",Outdoor,레저/피크닉,돗자리,계절적제품: 봄/가을,,디자인권,,PB
미스트 워터보틀,MIST,2024-02-29,,,중국,Drinkware,판매중,"MIST_PT2824-단품박스(스탠다드)_웜그레이,MIST_PT3848-샘플(실크)_주식회사오보틀[미스트워터보틀],MIST_PT3853-미스트워터보틀_추상적산출물,MIST_PT3854-미스트워터보틀_반투명화이트,MIST_PT3855-미스트워터보틀_다크그레이,MIST_PT3856-미스트워터보틀_더스티핑크,MIST_,MIST_,MIST_,MIST_PT3860-사각스티커(커스텀인쇄)_화이트+디지털풀컬러,MIST_PT3861-사각스티커(커스텀인쇄)(판매용)_화이트+디지털풀컬러,MIST_PT3341-원형스티커(전용)_화이트+디지털풀컬러,MIST_PT3857-실크_주식회사오보틀,MIST_,MIST_PT3893-조립산출물_미스트워터보틀",HS CODE 3924.10 또는 3924.90,"10,000 미만",Drinkware,보틀,플라스틱 보틀,일상적제품,,,,NB
판매용 피규어(제거 대상),,,,,,기타,,,,,기타,,,,,,,
주차번호판 피규어세트,FGPS,2024-03-12,,,대한민국,Figure,판매중,"FGPS_,FGPS_,FGPS_PT1492-지퍼팩(기성)_100-1,FGPS_PT1493-오픈박스(스탠다드)(Small)_화이트_100-4,FGPS_PT1787-오픈박스(스탠다드)(Small)_블랙_100-4,FGPS_,FGPS_,FGPS_,FGPS_[오픈박스],FGPS_PT3885-사각스티커(커스텀인쇄)_화이트+디지털풀컬러[오픈박스],FGPS_PT3907-배경지(커스텀인쇄)_화이트+디지털풀컬러[지퍼팩],FGPS_[오픈박스],FGPS_PT3884-피규어주차번호판_추상적산출물,FGPS_PT3883-피규어주차번호판_컬러,FGPS_PT3910-피규어주차번호판_조립산출물,FGPS_[오픈박스],FGPS_PT3912-외주생산총공정산출물_피규어주차번호판,FGPS_,FGPS_,FGPS_,FGPS_,FGPS_,FGPS_,FGPS_PT4527-주차번호판피규어세트_블랙,FGPS_PT4528-주차번호판피규어세트_화이트,FGPS_PT4529-주차번호판피규어세트_레드,FGPS_,FGPS_PT4530-주차번호판피규어세트_옐로우,FGPS_PT4531-주차번호판피규어세트_그린,FGPS_PT4532-주차번호판피규어세트_블루,FGPS_PT4635-오픈박스(커스텀인쇄)(small)_화이트+옵셋풀컬러,FGPS_PT4636-오픈박스(커스텀인쇄)(small)_블랙,FGPS_PT4637-색박(음각)_50x50[오픈박스],FGPS_PT4638-오픈박스_추상적산출물,FGPS_PT4639-사각스티커(커스텀인쇄)(판매용)_화이트+디지털풀컬러,FGPS_PT4645-배경지(커스텀인쇄)(판매용)_화이트+디지털풀컬러[지퍼팩]","- 판매용 제작 가능하나 저작권으로 인해 하단 제한 유의하며 제작 필요.
- 별도 스티커 부착이 아닌 기존 배경지 tmp에 제품명, 판매자 주소 및 전화번호 반영

[도형상표]
모자 벗은 피규어 제작 불가 > 모자 및 헤어 악세서리 착용한 캐릭터만 홍보 및 판매용 제작 가능
[문자상표]
레고, 미니피규어 키워드 사용 금지 > 제품명에 업체명+피규어 키워드 합성하여 사용할 경우에만 홍보 및 판매용 제작 가능","15,000 미만",Figure,월드 오브 피규어,디오라마,일상적제품,,,,NB
리멤버 탁상시계,RMBT,2024-08-06,,,중국,Tech,판매중,"RMBT_PT3348-단품박스(스탠다드)_화이트,RMBT_PT3899-외주생산총공정산출물_리멤버탁상시계,RMBT_PT3900-리멤버탁상시계,RMBT_PT3901-샘플(리멤버탁상시계),RMBT_PT3902-샘플(UV인쇄)_호언,RMBT_PT3903-UV_부분인쇄_호언,RMBT_PT3904-UV_전체인쇄_호언,RMBT_PT3905-사각스티커(커스텀인쇄)_화이트+디지털풀컬러,RMBT_PT3906-사각스티커(커스텀인쇄)(판매용)_화이트+디지털풀컬러,RMBT_PT3349-주의사항표기서(전용),RMBT_PT3913-조립산출물_리멤버탁상시계,RMBT_",사각스티커 TMP 생성 완료 ,"10,000 미만",Tech,시계,탁상시계,일상적제품,,,,NB
Storage 펄프 박스,STPB,2024-04-26,,,대한민국,Kit Package,판매중,"STPB_PT3343-펄프박스_리드_그레이,STPB_PT3344-펄프박스_바디_그레이,STPB_PT3345-띠지밴드_그레이,STPB_PT3886-띠지(커스텀인쇄)(Small)_화이트+디지털풀컬러,STPB_PT3887-띠지(커스텀인쇄)(Large)_화이트+디지털풀컬러,STPB_PT3888-슬리브(커스텀인쇄)_화이트+옵셋풀컬러,STPB_PT3346-머그류지지박스_그레이,STPB_PT3347-텀블러류지지박스_그레이,STPB_PT3889-실크_1색_전면_228x64_신명인쇄[펄프박스_리드],STPB_PT3890-웰컴페이퍼(커스텀인쇄)_화이트+디지털풀컬러,STPB_PT3891-웰컴페이퍼(커스텀인쇄)_반투명+블랙인쇄,STPB_PT3946-조립산출물_Storage펄프박스,STPB_PT3947-외주생산총공정산출물_펄프박스_리드,STPB_PT3073-에어캡봉투(중),STPB_PT3363-바닥지_화이트+옵셋풀컬러,STPB_PT4085-펄프박스_리드_추상적산출물",,"10,000 미만",Kit ,슬리브박스,펄프,일상적제품,ESG,디자인권,,PB
스탠딩 휴대용 선풍기,STPF,2024-03-29,,,중국,Tech,판매중,"STPF_PT3354-단품박스(스탠다드)_화이트,STPF_PT3355-사각스티커(전용)(QR덧방),STPF_PT3927-스탠딩휴대용선풍기_크림화이트,STPF_PT3928-스탠딩휴대용선풍기_아쿠아그레이,STPF_PT3929-스탠딩휴대용선풍기_차콜블랙,STPF_PT3930-실크_1색_손잡이_(주)루메나[스탠딩휴대용선풍기],STPF_PT3931-실크_1색_손잡이+거치대_(주)루메나[스탠딩휴대용선풍기],STPF_PT3932-사각스티커(커스텀인쇄)_화이트+디지털풀컬러,STPF_PT3933-스탠딩휴대용선풍기_추상적산출물,STPF_PT3935-샘플(실크)_1색_손잡이_(주)루메나[스탠딩휴대용선풍기],STPF_PT3936-샘플(실크)_1색_손잡이+거치대_(주)루메나[스탠딩휴대용선풍기],STPF_PT3937-조립산출물_스탠딩휴대용선풍기",,"30,000미만",Tech,계절가전,선풍기,계절적제품: 여름,,,,NB
핸디링 미니 선풍기,HDRM,2024-04-05,,,중국,Tech,판매중,"HDRM_PT0388-단품박스(스탠다드)_화이트_000-15,HDRM_PT3339-핸디링미니선풍기_화이트[신명인쇄],HDRM_PT3340-핸디링미니선풍기_네이비[신명인쇄],HDRM_PT3917-실크_손잡이_신명인쇄,HDRM_PT3918-실크_팬중앙_신명인쇄,HDRM_PT3919-볼륨프린팅_손잡이_슈퍼웍스컴퍼니,HDRM_PT3920-사각스티커(커스텀인쇄)_화이트+디지털풀컬러,HDRM_PT3921-샘플(실크인쇄)_팬중앙_신명인쇄,HDRM_PT3922-샘플(볼륨프린팅)_슈퍼웍스컴퍼니,HDRM_,HDRM_PT3923-핸디링미니선풍기(실크인쇄)_추상적산출물,HDRM_PT3925-사각스티커(커스텀인쇄)(판매용)_화이트+디지털풀컬러,HDRM_PT3938-조립산출물_핸디링미니선풍기(dash),HDRM_PT3939-외주생산총공정산출물_핸디링미니선풍기,HDRM_PT3942-실크_2곳(손잡이+팬중앙)_신명인쇄,HDRM_PT3943-샘플(실크인쇄)_손잡이_신명인쇄,HDRM_PT3944-샘플(실크인쇄)_2곳(손잡이+팬중앙)_신명인쇄,HDRM_PT4836-UV_펜중앙&손잡이2곳_신시어리웨일즈,HDRM_PT4837-샘플(UV)_펜중앙&손잡이2곳_신시어리웨일즈,HDRM_PT3339-핸디링미니선풍기_화이트[신시어리웨일즈],HDRM_PT3340-핸디링미니선풍기_네이비[신시어리웨일즈],HDRM_PT4840-핸디링미니선풍기(UV)_추상적산출물",사각스티커 TMP 생성 완료 ,"10,000 미만",Tech,계절가전,선풍기,계절적제품: 여름,,,,NB
대시,DASH,,,,,기타,졸업,DASH_,,,기타,,,,,,,
굿데이 볼캡,GDEB,2024-05-14,,,대한민국,Apparel,판매중,"GDEB_PT3985-샘플(자수)_1곳_주식회사케이디엠제이[굿데이볼캡],GDEB_PT3986-샘플(자수)_2곳_주식회사케이디엠제이[굿데이볼캡],GDEB_PT3987-굿데이볼캡_화이트,GDEB_PT3988-굿데이볼캡_블랙,GDEB_,GDEB_PT3991-일반자수_전면_130x50_주식회사케이디엠제이,GDEB_PT3992-볼륨자수_전면_130x50_주식회사케이디엠제이,GDEB_PT3989-굿데이볼캡_연베이지,GDEB_PT3990-굿데이볼캡_네이비,GDEB_,GDEB_,GDEB_,GDEB_PT3996-사각스티커(커스텀인쇄)_화이트+디지털풀컬러,GDEB_PT3359-OPP,GDEB_PT3360-표시사항스티커(전용),GDEB_PT3997-굿데이볼캡_추상적산출물,GDEB_PT3995-일반자수_후면_70x30_주식회사케이디엠제이,GDEB_PT4025-조립산출물_굿데이볼캡",품질표시스티커 MBS로 공용으로 쓰면 되어서 별도의 스티커 필요 없음 ,"15,000 미만",Apparel,볼캡,볼캡,일상적제품,,,,PB
라이트 캘린더,LTCL,2024-06-28,,,대한민국,Stationery,판매중,"LTCL_PT3980-샘플(라이트캘린더),LTCL_PT3981-라이트캘린더_삼각대(커스텀인쇄)_화이트+디지털풀컬러,LTCL_PT3982-라이트캘린더_표지+내지(커스텀인쇄)_화이트+디지털풀컬러,LTCL_PT3983-OPP,LTCL_PT3984-사각스티커(커스텀인쇄)_화이트,LTCL_PT3999-사각스티커(커스텀인쇄)(판매용)_+디지털풀컬러,LTCL_PT4104-링제본_화이트,LTCL_PT4114-조립산출물_라이트캘린더,LTCL_PT4176-링제본_블랙,LTCL_PT4177-링제본_실버,LTCL_PT4178-라이트캘린더_추상적산출물",,"5,000 미만",Stationery,캘린더,스프링 캘린더,계절적제품: 겨울,,,,PB
올데이 텀블러,ADYT,2024-05-30,,,중국,Drinkware,판매중,"ADYT_PT3362-올데이텀블러_화이트,ADYT_PT4074-샘플(실크)_1색_강천FNT[올데이텀블러],ADYT_PT4075-올데이텀블러_블랙,ADYT_PT4076-올데이텀블러_그린,ADYT_PT4077-UV_풀컬러_디지탈준[올데이텀블러],ADYT_PT4078-실크_강천FNT[올데이텀블러],ADYT_PT4079-사각스티커(커스텀인쇄)_화이트+디지털풀컬러,ADYT_PT4080-사각스티커(커스텀인쇄)(판매용)_화이트+디지털풀컬러,ADYT_PT4081-샘플(UV)_풀컬러_디지탈준[올데이텀블러],ADYT_PT2131-골지단품박스(스탠다드)_화이트_100-6,ADYT_PT4084-조립산출물_올데이텀블러,ADYT_[올데이텀블러],ADYT_PT4087-올데이텀블러(UV)_추상적산출물,ADYT_PT4086-올데이텀블러(실크)_추상적산출물,ADYT_PT4088-외주생산총공정산출물_올데이텀블러,ADYT_PT4615-올데이텀블러_화이트(ver2),ADYT_PT4616-올데이텀블러_블랙(ver2),ADYT_PT4617-올데이텀블러_그린(ver2),ADYT_PT4972-실크_화이트1색_강천FNT[올데이텀블러],ADYT_PT4973-실크_지정1색_강천FNT[올데이텀블러]","MBS스티커 제작 후 박스 후면에 부착하면 됨
HS CODE 9617.00.9000","10,000 미만",Drinkware,텀블러,스텐 텀블러,일상적제품,,,,PB
커넥트 미니 보조배터리,DP01,,,,,기타,졸업,"DP01_PT4000-커넥트미니보조배터리_화이트,DP01_PT0588-단품박스(스탠다드)_웜그레이_000-5,DP01_PT4020-볼륨프린팅_슈퍼웍스컴퍼니,DP01_PT4022-원형스티커_화이트+디지털풀컬러,DP01_PT4034-조립산출물_커넥트미니보조배터리",,,기타,,,,,,,
사일런스 페블 마우스,DP02,,,,,기타,졸업,"DP02_PT4001-사일런스페블마우스_베이지,DP02_PT0588-단품박스(스탠다드)_웜그레이_000-5,DP02_PT1046-펠트스트링파우치_화이트_100-2,DP02_PT4020-볼륨프린팅_슈퍼웍스컴퍼니,DP02_PT4022-원형스티커_화이트+디지털풀컬러,DP02_PT4035-조립산출물_사일런스페블마우스",,,기타,,,,,,,
듀얼 휴대용 선풍기,DP03,,,,,기타,졸업,"DP03_PT4002-듀얼휴대용선풍기_크림,DP03_PT0493-단품박스(스탠다드)_웜그레이_000-19,DP03_PT4020-볼륨프린팅_슈퍼웍스컴퍼니,DP03_PT4022-원형스티커_화이트+디지털풀컬러,""DP03_PT4072-조립산출물_파워브리즈탁상용선풍기,PT4084-조립산출물_올데이텀블러""",,,기타,,,,,,,
핸디 맥세이프 보조배터리,DP04,,,,,기타,졸업,"DP04_PT4003-핸디맥세이프보조배터리_화이트,DP04_PT4020-볼륨프린팅_슈퍼웍스컴퍼니,DP04_PT4022-원형스티커_화이트+디지털풀컬러,DP04_PT4058-조립산출물_핸디맥세이프보조배터리",,,기타,,,,,,,
굿나잇 미니 무드등,DP05,,,,,기타,졸업,"DP05_PT4004-굿나잇미니무드등_아이보리,DP05_PT4020-볼륨프린팅_슈퍼웍스컴퍼니,DP05_PT4022-원형스티커_화이트+디지털풀컬러,DP05_PT4059-조립산출물_굿나잇미니무드등",,,기타,,,,,,,
모던 스텐머그,DP06,,,,,기타,졸업,"DP06_PT4005-모던스텐머그_화이트,DP06_PT1583-골지단품박스_그레이_100-2,DP06_PT4020-볼륨프린팅_슈퍼웍스컴퍼니,DP06_PT4023-원형스티커_화이트+디지털풀컬러,DP06_PT4060-조립산출물_모던스텐머그",,,기타,,,,,,,
스테디 노트북 거치대,DP07,,,,,기타,졸업,"DP07_PT4006-스테디노트북거치대_화이트,DP07_PT4020-볼륨프린팅_슈퍼웍스컴퍼니,DP07_PT4024-원형스티커_화이트+디지털풀컬러,DP07_PT4061-조립산출물_스테디노트북거치대",,,기타,,,,,,,
미니멀 무선 키보드,DP08,,,,,기타,졸업,"DP08_PT4007-미니멀무선키보드_화이트,DP08_PT4020-볼륨프린팅_슈퍼웍스컴퍼니,DP08_PT4023-원형스티커_화이트+디지털풀컬러,DP08_PT4062-조립산출물_미니멀무선키보드",,,기타,,,,,,,
스마트 3in1 무선충전기,DP09,,,,,기타,졸업,"DP09_PT4008-스마트3in1무선충전기(애플워치)_화이트,DP09_PT4009-스마트3in1무선충전기(갤럭시워치)_블랙,DP09_PT4020-볼륨프린팅_슈퍼웍스컴퍼니,DP09_PT4021-스마트3in1무선충전기_추상적산출물,DP09_PT4023-원형스티커_화이트+디지털풀컬러,DP09_PT4063-조립산출물_스마트3in1무선충전기",,,기타,,,,,,,
스테들러 형광펜 세트,DP12,,,,,기타,졸업,"DP12_PT4010-스테들러세트(형광펜세트),DP12_PT4020-볼륨프린팅_슈퍼웍스컴퍼니,DP12_PT3361-OPP,DP12_PT4022-원형스티커_화이트+디지털풀컬러,DP12_PT4065-조립산출물_스테들러형광펜세트",,,기타,,,,,,,
Baseus | 차량용 비상망치,DP13,,,,,기타,졸업,"DP13_PT4011-차량용비상망치_실버,DP13_PT4020-볼륨프린팅_슈퍼웍스컴퍼니,DP13_PT4022-원형스티커_화이트+디지털풀컬러,DP13_PT4066-조립산출물_Baseus|차량용비상망치,DP13_검토대상(recGQJbXVpgt1RSPb)",,,기타,,,,,,,
프리미엄 3단 암막우산,DP14,,,,,기타,졸업,"DP14_PT4012-프리미엄3단암막우산_블랙,DP14_PT4020-볼륨프린팅_슈퍼웍스컴퍼니,DP14_PT4023-원형스티커_화이트+디지털풀컬러,DP14_PT4067-조립산출물_프리미엄3단암막우산",,,기타,,,,,,,
어프로치 | 라이트 노트,DP15,,,,,기타,졸업,"DP15_PT4013-어프로치라이트노트(무지)_라이트그레이,DP15_PT4020-볼륨프린팅_슈퍼웍스컴퍼니,DP15_PT4023-원형스티커_화이트+디지털풀컬러,DP15_PT4068-조립산출물_어프로치|라이트노트",,,기타,,,,,,,
심플 바인더 노트,DP16,,,,,기타,졸업,"DP16_PT3356-심플바인더노트(바인더+내지2종),DP16_PT4020-볼륨프린팅_슈퍼웍스컴퍼니,DP16_PT4023-원형스티커_화이트+디지털풀컬러,DP16_PT4069-조립산출물_심플바인더노트",,,기타,,,,,,,
굿데이 캐리어 파우치,DP17,,,,,기타,졸업,"DP17_PT4014-굿데이캐리어파우치_실버,DP17_PT4020-볼륨프린팅_슈퍼웍스컴퍼니,DP17_PT4023-원형스티커_화이트+디지털풀컬러,DP17_PT4070-조립산출물_굿데이캐리어파우치",,,기타,,,,,,,
락앤락 | 더블월 콜드컵,DP18,,,,,기타,졸업,"DP18_PT4015-락앤락더블월콜드컵_아이보리,DP18_PT4020-볼륨프린팅_슈퍼웍스컴퍼니,DP18_PT4023-원형스티커_화이트+디지털풀컬러,DP18_PT4071-조립산출물_락앤락|더블월콜드컵",,,기타,,,,,,,
파워브리즈 탁상용 선풍기,DP19,,,,,기타,졸업,"DP19_PT4016-파워브리즈탁상용선풍기_화이트,DP19_PT4020-볼륨프린팅_슈퍼웍스컴퍼니,DP19_PT4024-원형스티커_화이트+디지털풀컬러,DP19_PT4051-조립산출물_파워브리즈탁상용선풍기",,,기타,,,,,,,
젠틀와인오프너,DP20,,,,,기타,졸업,"DP20_PT4017-젠틀와인오프너_블랙,DP20_PT4020-볼륨프린팅_슈퍼웍스컴퍼니,DP20_PT4023-원형스티커_화이트+디지털풀컬러,DP20_PT4053-조립산출물_젠틀와인오프너",,,기타,,,,,,,
킵프레쉬 도시락통,DP21,,,,,기타,졸업,"DP21_PT4018-킵프레쉬도시락통(직사각2+1(1100ml)),DP21_PT3146-OPP,DP21_PT4020-볼륨프린팅_슈퍼웍스컴퍼니,DP21_PT4023-원형스티커_화이트+디지털풀컬러,DP21_PT4055-조립산출물_킵프레쉬도시락통",,,기타,,,,,,,
샤오미 펜,DP10,,,,,기타,졸업,"DP10_PT4019-샤오미펜(중성펜),DP10_PT1093-유광덮개파우치_투명_000-3,DP10_PT4020-볼륨프린팅_슈퍼웍스컴퍼니,DP10_PT4022-원형스티커_화이트+디지털풀컬러,DP10_PT4064-조립산출물_샤오미펜",,,기타,,,,,,,
