파츠명 (Long ver),굿즈 연결 현황 (from item),파츠 유형,파츠: 가로x세로x높이(장폭고),파츠: 지류/소재,발주 세부사항(임가공 포함),재고여부,제작협력사,itemdb (new),1개_표준원가,50개_표준원가,100개_표준원가,300개_표준원가,500개_표준원가,1000개_표준원가,3000개_표준원가,5000개_표준원가,10000개_표준원가,30000개_표준원가,재고_리드타임,파츠 제작 리드타임_기본_500개,파츠 제작 이동 리드타임,파츠 제작 리드타임_수량별 조정_1000개,파츠 제작 리드타임_수량별 조정_3000개,파츠 총 제작 리드타임_기본_500개,파츠 총 제작 리드타임_1000개,파츠 총 제작 리드타임_3000개,파츠 제작 리드타임_수량별 조정_100개,파츠 총 제작 리드타임_100개,파츠 제작 리드타임_수량별 조정_300개,파츠 총 제작 리드타임_300개
PT4750-핸드폰보호필름,"재고생산, 클로저 휴대폰 스트랩",Product Parts,,,"1) 중국제조
2) 개별 OPP 포장 및 묶음단위 포장에 made in china 부착 필요
3) 세부사항 PI 확인",⭕재고⭕,Shenzhen Xinyixin Technology Co Ltd,"STCK_PT4750-핸드폰보호필름,CHST_PT4750-핸드폰보호필름",,,,,,,,,,,,,,,,,0,0,,0,,0
PT4791-블리스터(전용),"재고생산, 클로저 휴대폰 스트랩",Package Parts,,,"1) 중국제조 제품
2) 분리배출마크 표기필수
3) 묶음단위 포장에 made in china 부착 필수",⭕재고⭕,"""Shenzhen Xin Hong Yang Packaging Products Co., Ltd.""","STCK_PT4791-블리스터(전용),CHST_PT4791-블리스터(전용)",570,570,570,570,570,570,570,570,570,570,,,,,,,0,0,,0,,0
PT4727-주의사항표기서(전용)_화이트,"재고생산, 킵세이프 마그넷 배터리 Max",Package Parts, 65x100,스노우 150g,"1) 양면 먹1도 출력 
2) 코팅 없음
3)사방 귀돌이 4R",⭕재고⭕,서울디지털인쇄협동조합,"STCK_PT4727-주의사항표기서(전용)_화이트,KSBM_PT4727-주의사항표기서(전용)_화이트",10000,220,220,200,180,150,130,100,80,80,,,,,,,0,0,,0,,0
PT4726-단품박스(스탠다드)_화이트,"재고생산, 킵세이프 마그넷 배터리 Max, 킵세이프 마그넷 배터리 Slim",Package Parts,80x25x110,BV 350g,"1) 단면 먹1도
2) 단면 무광코팅
3) 펄박 (지산860)
4) 도무송 
5) 삼면접착",⭕재고⭕,주식회사 모아패키지,"STCK_PT4726-단품박스(스탠다드)_화이트,KSBM_PT4726-단품박스(스탠다드)_화이트,KSMB_PT4726-단품박스(스탠다드)_화이트",430,430,430,430,430,430,430,430,430,430,,,,,,,0,0,,0,,0
PT4696-킵세이프마그넷배터리2.0,"재고생산, 킵세이프 마그넷 배터리 Slim",Product Parts,,"ABS,PC",,⭕재고⭕,(주)쉔코리아,"STCK_PT4696-킵세이프마그넷배터리2.0,MGNB_PT4696-킵세이프마그넷배터리2.0,KSMB_PT4696-킵세이프마그넷배터리2.0",9100,9100,9100,9100,9100,9100,9100,9100,9100,9100,,,,,,,0,0,,0,,0
PT4769-주의사항표기서(전용)_화이트,"재고생산, 킵세이프 마그넷 배터리 Slim",Package Parts,65x100,스노우 150g,"1) 양면 먹1도 출력 
2) 코팅 없음
3)사방 귀돌이 4R",⭕재고⭕,서울디지털인쇄협동조합,"STCK_PT4769-주의사항표기서(전용)_화이트,MGNB_PT4769-주의사항표기서(전용)_화이트,KSMB_PT4769-주의사항표기서(전용)_화이트",220,220,220,200,180,150,130,100,80,80,,,,,,,0,0,,0,,0
PT4401-OPP,"재고생산, 테크 미니 파우치",Package Parts,130x150+40,OPP 접착형,,⭕재고⭕,혜림봉투,"STCK_PT4401-OPP,TCMP_PT4401-OPP",0,40,20,13,12,10,10,10,0,0,,,,,,,0,0,,0,,0
PT2805-씬페이퍼봉투_화이트,"재고생산, 페이퍼링 캘린더",Package Parts,270x215+70,노루지 화이트 30g,1) 봉투가공,⭕재고⭕,주식회사 디자인오엔,"STCK_PT2805-씬페이퍼봉투_화이트,PIPR_PT2805-씬페이퍼봉투_화이트",58,58,58,58,58,58,58,58,58,58,19,,,,,,0,0,,0,,0
PT2839-프라우드메모패드_커버_블랙,"재고생산, 프라우드 메모패드",Product Parts,110x183x15,,"1) PU (외피 내피 모두 블랙)
2) 신시어리 펜홀더(25mm) 칼로 제작",⭕재고⭕,엔엠텍코리아주식회사,"STCK_PT2839-프라우드메모패드_커버_블랙,PMPB_PT2839-프라우드메모패드_커버_블랙",4850,4850,4850,4850,4650,4550,4350,4350,4350,4350,15,,,,,,0,0,,0,,0
PT2841-리갈패드_옐로우,"재고생산, 프라우드 메모패드",Product Parts,173x89x5,중성지(노랑),"주문 메뉴얼
https://docs.google.com/presentation/d/1ViL2vS2Yg4RJ3hCrdrJpHFXmjiVkQp0SbZrO9dp5tus/edit#slide=id.p",⭕재고⭕,엔엠텍코리아주식회사,"STCK_PT2841-리갈패드_옐로우,PMPB_PT2841-리갈패드_옐로우",482,482,482,482,482,482,482,482,482,482,,,,,,,0,0,,0,,0
